scenario,variant,n,overlay_mbps_median,overlay_mbps_mean,overlay_mbps_min,overlay_mbps_max,overlay_mbps_cv_percent,underlay_mbps_median,underlay_mbps_mean,underlay_mbps_min,underlay_mbps_max,underlay_mbps_cv_percent,overlay_to_underlay_ratio_median,overlay_to_underlay_ratio_mean,overlay_to_underlay_ratio_min,overlay_to_underlay_ratio_max,overlay_to_underlay_ratio_cv_percent,ping_p95_ms_median,ping_p95_ms_mean,ping_p95_ms_min,ping_p95_ms_max,ping_p95_ms_cv_percent,utility_last10_mean_median,utility_last10_mean_mean,utility_last10_mean_min,utility_last10_mean_max,utility_last10_mean_cv_percent,residual_loss_ppm_mean_median,residual_loss_ppm_mean_mean,residual_loss_ppm_mean_min,residual_loss_ppm_mean_max,residual_loss_ppm_mean_cv_percent,final5_cwnd_kib_median,final5_cwnd_kib_mean,final5_cwnd_kib_min,final5_cwnd_kib_max,final5_cwnd_kib_cv_percent,final5_pacing_mbps_median,final5_pacing_mbps_mean,final5_pacing_mbps_min,final5_pacing_mbps_max,final5_pacing_mbps_cv_percent,parity_to_payload_ratio_median,parity_to_payload_ratio_mean,parity_to_payload_ratio_min,parity_to_payload_ratio_max,parity_to_payload_ratio_cv_percent
clean,classify-only,3,258.61708165070564,259.9505850049588,257.552720012738,263.68195335143264,1.0286635033241893,282.37638305910053,282.3515425974097,282.2586847267364,282.4195600063922,0.02407824423109706,0.9157194411210478,0.9206619959390138,0.9124704887719679,0.9337960579240255,1.0189865324128184,20.0,29.666666666666668,16.8,52.2,53.88855880991596,4.161360709817576,3.9188283022357067,3.379958150330444,4.2151660465591,9.73942527848035,1076.875,1014.6013888888889,884.8666666666667,1082.0625,9.04401913854108,471.07265625,480.13925781250003,454.359765625,514.9853515625,5.324942336961079,0.0,103.80984000000001,0.0,311.42952,141.4213562373095,0.0,0.0,0.0,0.0,0.0
clean,conventional-loss,1,256.32703288867367,256.32703288867367,256.32703288867367,256.32703288867367,0.0,282.34742817253067,282.34742817253067,282.34742817253067,282.34742817253067,0.0,0.9078426339766161,0.9078426339766161,0.9078426339766161,0.9078426339766161,0.0,16.1,16.1,16.1,16.1,0.0,4.433473847828565,4.433473847828565,4.433473847828565,4.433473847828565,0.0,1301.3333333333333,1301.3333333333333,1301.3333333333333,1301.3333333333333,0.0,499.6033203125,499.6033203125,499.6033203125,499.6033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,full,3,255.38977048287134,254.93811938996038,250.8781116002582,258.5464760867516,1.234356187860279,282.4724706525917,282.47271361272857,282.4561779003337,282.4894922852603,0.004815199860268953,0.904068213004456,0.9025226882455671,0.8882018919366034,0.9152979597956422,1.2316339494136934,17.7,17.4,16.5,18.0,3.724563619774632,4.086556417903226,4.061595687014332,3.99555020741071,4.10268043572906,1.1611898931452909,1108.7333333333333,1122.5111111111112,978.2666666666667,1280.5333333333333,11.027403530233675,512.0,507.56178385416666,492.04609375,518.6392578125,2.2265473901987813,0.0,22.692976,0.0,68.078928,141.4213562373095,0.0,0.0,0.0,0.0,0.0
cross-highrtt,classify-only,3,22.3714847545965,22.237471425746044,21.501848479848736,22.83908104279289,2.4916784418923785,5.270506848870585,5.322428091653678,5.2172349425018805,5.479542483588568,2.1269491461870085,4.244655285741727,4.182099867288471,3.9240225884273303,4.377621727696358,4.552514519463198,106.0,105.66666666666667,105.0,106.0,0.44612415216816875,1.321135901817798,1.3507220040487862,1.2572347340801953,1.473795376248365,6.726181083890456,13601.565217391304,13737.706851119894,13334.772727272728,14276.782608695652,2.8857772821525978,1309.258203125,1305.9403645833333,1185.3552734375,1423.2076171875,7.437640526945992,53.86188,53.77101066666667,52.346304,55.104848,2.0977891289768467,0.22302334459476097,0.25813666716440936,0.21347686415335923,0.3379097927451079,21.90413131176838
cross-highrtt,conventional-loss,3,16.6762852847568,18.01017371723848,16.61783023575135,20.73640563120729,10.704420789067106,5.114056906524644,5.199706308419437,5.060899195420904,5.42416282331276,3.080780003666654,3.260872060981717,3.4739717011045257,3.06366729338006,4.097375748951801,12.898919496899545,106.0,105.66666666666667,105.0,106.0,0.44612415216816875,0.9822945863612281,0.9309311140903219,0.49404131280381136,1.3164574431059264,36.27644125778494,16070.90909090909,15762.484848484848,13919.136363636364,17297.409090909092,8.858443430202675,327.408984375,340.48014322916663,307.3501953125,386.68125,9.891860387446581,56.45136,50.920899733333336,34.280632,62.0307072,23.536276688449483,0.2922150182049945,0.3033164784108852,0.24499165712160725,0.37274275990605393,17.38831377821569
cross-highrtt,full,3,20.910325229253022,21.726507726298426,20.54972898899989,23.71946896064236,6.521548191813253,5.374718184340783,5.286434930795533,5.061580953797092,5.423005654248723,3.030647307418822,4.131184588397532,4.109483571112891,3.823405857607834,4.373860267333308,5.481111333837296,106.0,105.66666666666667,105.0,106.0,0.44612415216816875,1.1674249843481097,1.2595541020790975,0.8679181938050403,1.7433191280841425,28.841150909861675,15028.0,14366.90184453228,12419.227272727272,15653.478260869566,9.74939664595476,1681.038671875,1539.8873046875,1200.0779296875,1738.5453125,15.678141620726683,69.73722240000001,69.6928576,63.0793568,76.2619936,7.722283964696775,0.346249718888752,0.36947771653274675,0.2958883721761677,0.4662950585333206,19.34645352191006
severe-loss,classify-only,3,5.634249303058581,5.698194106487987,4.74099654299288,6.7193364734125,14.196051820566105,1.9317518558550377,1.8618100662360544,1.670435660778383,1.9832426820747426,7.355482811660141,2.916652719127185,3.0476293315159357,2.8381796763029405,3.3880555991176817,7.9681668712729055,110.0,110.0,108.0,112.0,1.484539238050411,-2.6866370838935145,-2.6496967317707827,-3.5009665856546706,-1.761486525764163,-26.81891797594091,32729.590909090908,34546.18560606061,30854.375,40054.59090909091,11.490563016317786,1027.0732421875,920.0274088541667,582.7037109375,1150.3052734375,26.49613879696908,50.096736,43.91092213333333,28.6913584,52.944672,24.65099496341561,1.0914690918043546,0.907556695740405,0.5269819851030422,1.1042190103138183,29.657353052021087
severe-loss,conventional-loss,3,2.8078802593482233,3.1939853995712895,2.605079208669825,4.16899673069582,21.74056796439288,1.8784834781223991,1.9310136461245437,1.826267120308778,2.0882903399424544,5.864073204509258,1.494759092667019,1.6391925660410005,1.4264502600415696,1.9963683454144132,15.50131132385943,108.0,107.66666666666667,105.0,110.0,1.9084873074207358,-5.284082929590863,-5.3549520413358165,-7.087125164030118,-3.69364803038647,-25.88794928662891,47459.434782608696,46610.58234519104,40611.181818181816,51761.13043478261,9.850446901259998,191.11796875,157.21516927083334,74.6533203125,205.87421875,37.331027688833984,20.639488,23.727306666666667,18.867528,31.674904,23.880366973439422,1.1016854085875025,0.8862764161058047,0.44217520422624945,1.114968635503662,35.437454074996815
severe-loss,full,3,4.578310182791667,4.797226942144254,3.6533812418604987,6.159989401780598,21.57413870660159,1.7739229879954783,1.773886430752494,1.7211768722587915,1.8265594320032124,2.4253107121435,2.5065213332645695,2.7005504753701164,2.122606514614604,3.472523578231176,21.029891089122486,109.0,109.66666666666667,109.0,111.0,0.8597042932359239,-2.5814756931740943,-2.9789776047325294,-3.812369460660489,-2.543087660363005,-19.78884918859889,36203.913043478264,36072.38010540185,33000.86363636364,39012.36363636364,6.808384552971713,785.417578125,845.8186848958333,720.0126953125,1032.02578125,15.883836464179849,35.0406256,39.797660799999996,32.687982399999996,51.6643744,21.221909291077896,1.119688860006803,1.1224907440471568,1.1085242517750344,1.1392591203596332,1.131671852885432
shallow-fec,fec-off,3,83.99698730703943,85.14697272744671,82.58387779923434,88.86005307606634,3.157102332717561,103.617583547188,103.62472480035908,103.5972643828833,103.65932647100593,0.024931345784116175,0.8108031404825176,0.8216803909340129,0.797006405400539,0.8572316269189821,3.1352575844957373,10.2,10.2,10.0,10.4,1.600973688093582,4.283760274740578,4.294497793547204,4.278709503508155,4.321023602392877,0.439389636091412,204.3,385.6166666666667,98.4,854.15,86.64357682858306,130.7853515625,127.87545572916667,121.2814453125,131.5595703125,3.654626436931268,112.274248,112.338072,111.37564,113.364328,0.7238257158529265,0.0,0.0,0.0,0.0,0.0
