scenario,variant,repetition,raw_run,binary_sha256,duration_seconds,overlay_mbps,underlay_mbps,overlay_to_underlay_ratio,ping_p95_ms,utility_last10_mean,residual_loss_ppm_mean,final5_cwnd_kib,final5_pacing_mbps,parity_to_payload_ratio,loss_is_congestion_values,fec_geometry_histogram,force,summary_path
cross-highrtt,conventional-loss,0,conventional-loss-r0,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,20,16.61783023575135,5.42416282331276,3.06366729338006,105.0,1.3164574431059264,13919.136363636364,307.3501953125,34.280632,0.24499165712160725,[true],"{""4+2"":2,""6+1"":3,""6+2"":2,""8+1"":13,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/conventional-loss-r0/summary.json
cross-highrtt,conventional-loss,1,conventional-loss-r1,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,20,16.6762852847568,5.114056906524644,3.260872060981717,106.0,0.49404131280381136,17297.409090909092,327.408984375,56.45136,0.37274275990605393,[true],"{""4+2"":9,""8+1"":11,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/conventional-loss-r1/summary.json
cross-highrtt,conventional-loss,2,conventional-loss-r2,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,20,20.73640563120729,5.060899195420904,4.097375748951801,106.0,0.9822945863612281,16070.90909090909,386.68125,62.0307072,0.2922150182049945,[true],"{""4+2"":5,""6+1"":3,""6+2"":2,""8+1"":11,""off"":1}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/conventional-loss-r2/summary.json
cross-highrtt,classify-only,0,classify-only-r0,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,20,21.501848479848736,5.479542483588568,3.9240225884273303,106.0,1.473795376248365,13334.772727272728,1423.2076171875,55.104848,0.3379097927451079,[false],"{""4+2"":8,""8+1"":12,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/classify-only-r0/summary.json
cross-highrtt,classify-only,1,classify-only-r1,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,20,22.3714847545965,5.270506848870585,4.244655285741727,105.0,1.321135901817798,13601.565217391304,1309.258203125,53.86188,0.21347686415335923,[false],"{""4+2"":2,""6+1"":2,""6+2"":2,""8+1"":14,""off"":3}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/classify-only-r1/summary.json
cross-highrtt,classify-only,2,classify-only-r2,a4683bf57308eab683f26b8212f8a8bab038ea5cd744ca5c93406321e116a60f,20,22.83908104279289,5.2172349425018805,4.377621727696358,106.0,1.2572347340801953,14276.782608695652,1185.3552734375,52.346304,0.22302334459476097,[false],"{""4+2"":2,""6+1"":2,""6+2"":2,""8+1"":14,""off"":3}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/classify-only-r2/summary.json
cross-highrtt,full,0,full-off-r0,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,23.71946896064236,5.423005654248723,4.373860267333308,106.0,1.7433191280841425,12419.227272727272,1681.038671875,69.73722240000001,0.2958883721761677,[false],"{""4+2"":6,""6+1"":2,""6+2"":2,""8+1"":10,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/full-off-r0/summary.json
cross-highrtt,full,1,full-host-r1,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,20.54972898899989,5.374718184340783,3.823405857607834,105.0,1.1674249843481097,15653.478260869566,1200.0779296875,63.0793568,0.346249718888752,[false],"{""4+2"":8,""8+1"":13,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/full-host-r1/summary.json
cross-highrtt,full,2,full-host-r2,25eac033596e7bf598e02b0efa1d33fab0c95fe77f972d8a89cd3b105346a5bd,20,20.910325229253022,5.061580953797092,4.131184588397532,106.0,0.8679181938050403,15028.0,1738.5453125,76.2619936,0.4662950585333206,[false],"{""4+2"":11,""4+4"":1,""8+1"":8,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/cross-highrtt/full-host-r2/summary.json
severe-loss,conventional-loss,0,conventional-loss-r0,75c65320f3a7d7dd628e4d077e128c7ecc5df0c7138524608a1974d61279d150,20,4.16899673069582,2.0882903399424544,1.9963683454144132,110.0,-3.69364803038647,40611.181818181816,205.87421875,31.674904,1.114968635503662,[true],"{""4+4"":20,""off"":2}","{""bbr_preset"":""lossy-radio"",""bulk_quantum_cells"":2,""cover_overhead_per_mille"":0,""cover_profile"":""idle"",""fec"":""off"",""train_target_bytes"":32768}",/home/bubu/sdwan/target/ablation-erasure-20260902/runs/severe-loss/conventional-loss-r0/summary.json
